case,vareps,n,grid,nt,nx,iters,converged,walltime_s,D_final,P_final,refs,err_rho_analytic,err_rho_sinkhorn_same,err_rho_sinkhorn_fine,err_full_analytic,err_full_sinkhorn_same,err_full_sinkhorn_fine,file
bimodal,0.00000000e+00,32,uniform,32,32,40000,0,1.39000000e+01,5.82796468e-07,1.75245628e-09,none,,,,,,,bimodal_eps0_n32_uniform_ETD.npz
bimodal,1.00000000e-03,32,uniform,32,32,40000,0,1.40000000e+01,1.12778105e-06,3.24537163e-10,none,,,,,,,bimodal_eps0.001_n32_uniform_ETD.npz
bimodal,0.00000000e+00,64,uniform,64,64,40000,0,4.67000000e+01,4.19504848e-07,6.45903781e-09,none,,,,,,,bimodal_eps0_n64_uniform_ETD.npz
bimodal,0.00000000e+00,128,uniform,128,128,40000,0,1.16500000e+02,3.65393486e-07,1.16680678e-07,none,,,,,,,bimodal_eps0_n128_uniform_ETD.npz
bimodal,0.00000000e+00,256,uniform,256,256,40000,0,4.54000000e+02,3.47183150e-07,4.34009575e-07,none,,,,,,,bimodal_eps0_n256_uniform_ETD.npz
bimodal,1.00000000e-08,32,uniform,32,32,40000,0,3.15000000e+01,5.82917762e-07,1.56176362e-09,none,,,,,,,bimodal_eps1e-08_n32_uniform_ETD.npz
bimodal,1.00000000e-08,64,uniform,64,64,40000,0,4.68000000e+01,4.19416638e-07,5.82624791e-09,none,,,,,,,bimodal_eps1e-08_n64_uniform_ETD.npz
bimodal,1.00000000e-08,128,uniform,128,128,40000,0,1.28000000e+02,3.65346616e-07,1.16671381e-07,none,,,,,,,bimodal_eps1e-08_n128_uniform_ETD.npz
bimodal,1.00000000e-08,256,uniform,256,256,40000,0,4.35000000e+02,3.47216742e-07,4.33935733e-07,none,,,,,,,bimodal_eps1e-08_n256_uniform_ETD.npz
bimodal,1.00000000e-04,32,uniform,32,32,40000,0,3.16000000e+01,6.36252031e-07,2.14476235e-10,none,,,,,,,bimodal_eps0.0001_n32_uniform_ETD.npz
bimodal,1.00000000e-04,64,uniform,64,64,40000,0,5.31000000e+01,4.35206251e-07,3.19882416e-09,none,,,,,,,bimodal_eps0.0001_n64_uniform_ETD.npz
bimodal,1.00000000e-04,128,uniform,128,128,40000,0,1.52600000e+02,3.81159371e-07,2.75377199e-08,none,,,,,,,bimodal_eps0.0001_n128_uniform_ETD.npz
bimodal,1.00000000e-04,256,uniform,256,256,40000,0,4.90200000e+02,3.64817842e-07,2.31714139e-08,none,,,,,,,bimodal_eps0.0001_n256_uniform_ETD.npz
bimodal,1.00000000e-03,64,uniform,64,64,40000,0,5.56000000e+01,6.36759483e-07,2.71238124e-09,none,,,,,,,bimodal_eps0.001_n64_uniform_ETD.npz
bimodal,1.00000000e-03,128,uniform,128,128,40000,0,1.51600000e+02,4.87319490e-07,2.70192509e-09,none,,,,,,,bimodal_eps0.001_n128_uniform_ETD.npz
bimodal,1.00000000e-03,256,uniform,256,256,40000,0,4.74800000e+02,4.50947473e-07,7.40822568e-10,none,,,,,,,bimodal_eps0.001_n256_uniform_ETD.npz
bimodal,1.00000000e-02,32,clustered,32,32,40000,0,3.24000000e+01,4.16522492e-06,3.37369811e-09,sinkhorn_fine;sinkhorn_same,,3.91294380e-02,2.59089304e-02,,4.16746994e-02,2.85485320e-02,bimodal_eps0.01_n32_clustered_ETD.npz
bimodal,1.00000000e-02,64,clustered,64,64,40000,0,5.34000000e+01,2.37044104e-06,7.17451164e-10,sinkhorn_fine;sinkhorn_same,,9.43219749e-03,6.05197388e-03,,1.00353972e-02,6.62433285e-03,bimodal_eps0.01_n64_clustered_ETD.npz
bimodal,1.00000000e-02,128,clustered,128,128,40000,0,1.43400000e+02,1.91804290e-06,1.59225754e-08,sinkhorn_fine;sinkhorn_same,,2.33926797e-03,1.49131423e-03,,2.48825754e-03,1.62936082e-03,bimodal_eps0.01_n128_clustered_ETD.npz
bimodal,1.00000000e-02,256,clustered,256,256,40000,0,4.87900000e+02,1.81530075e-06,1.65792446e-09,sinkhorn_fine;sinkhorn_same,,5.82880698e-04,3.72169242e-04,,6.20008773e-04,4.06496068e-04,bimodal_eps0.01_n256_clustered_ETD.npz
bimodal,1.00000000e-01,32,clustered,32,32,40000,0,3.28000000e+01,4.34301266e-05,1.21062494e-07,sinkhorn_fine;sinkhorn_same,,1.30205100e-02,9.83696789e-03,,2.88786242e-02,2.78819755e-02,bimodal_eps0.1_n32_clustered_ETD.npz
bimodal,1.00000000e-01,64,clustered,64,64,40000,0,5.50000000e+01,2.75357125e-05,1.85270434e-08,sinkhorn_fine;sinkhorn_same,,3.27435218e-03,2.46365456e-03,,7.49952943e-03,7.03627819e-03,bimodal_eps0.1_n64_clustered_ETD.npz
bimodal,1.00000000e-01,128,clustered,128,128,40000,0,1.48300000e+02,2.49491903e-05,7.08826992e-09,sinkhorn_fine;sinkhorn_same,,8.41442826e-04,6.43709228e-04,,1.91095720e-03,1.79688436e-03,bimodal_eps0.1_n128_clustered_ETD.npz
bimodal,1.00000000e-01,256,clustered,256,256,40000,0,5.07700000e+02,2.43745354e-05,7.03982147e-09,sinkhorn_fine;sinkhorn_same,,2.44923247e-04,2.02240557e-04,,5.66249516e-04,5.51383078e-04,bimodal_eps0.1_n256_clustered_ETD.npz
bimodal,1.00000000e+00,32,clustered,32,32,40000,0,3.45000000e+01,5.76315136e-04,1.63331857e-06,sinkhorn_fine;sinkhorn_same,,2.08751827e-02,1.97008446e-02,,6.24607722e-01,6.58272427e-01,bimodal_eps1_n32_clustered_ETD.npz
bimodal,1.00000000e+00,64,clustered,64,64,40000,0,6.11000000e+01,3.54466093e-04,5.06542060e-07,sinkhorn_fine;sinkhorn_same,,1.09817855e-02,1.06731121e-02,,2.21569896e-01,2.19329627e-01,bimodal_eps1_n64_clustered_ETD.npz
bimodal,1.00000000e+00,128,clustered,128,128,40000,0,1.79700000e+02,4.49682780e-04,4.58995270e-07,sinkhorn_fine;sinkhorn_same,,3.22354154e-03,3.15135916e-03,,6.27872044e-02,6.17833381e-02,bimodal_eps1_n128_clustered_ETD.npz
bimodal,1.00000000e+00,256,clustered,256,256,40000,0,6.21800000e+02,4.75904350e-04,6.24648767e-07,sinkhorn_fine;sinkhorn_same,,1.55102601e-03,1.53774824e-03,,3.46280670e-02,3.44729880e-02,bimodal_eps1_n256_clustered_ETD.npz
gaussian,0.00000000e+00,32,uniform,32,32,40000,0,2.84000000e+01,7.75098395e-07,2.53415132e-10,analytic,1.54866576e-02,,,1.88726111e-02,,,gaussian_eps0_n32_uniform_ETD.npz
gaussian,0.00000000e+00,64,uniform,64,64,40000,0,4.75000000e+01,6.52840331e-07,4.95581312e-09,analytic,1.49221317e-03,,,3.06481988e-03,,,gaussian_eps0_n64_uniform_ETD.npz
gaussian,0.00000000e+00,128,uniform,128,128,40000,0,1.27600000e+02,6.27891798e-07,7.56518735e-09,analytic,1.01745035e-04,,,6.38323113e-04,,,gaussian_eps0_n128_uniform_ETD.npz
gaussian,0.00000000e+00,256,uniform,256,256,40000,0,4.32800000e+02,6.31618466e-07,1.42835031e-08,analytic,4.88324283e-05,,,1.63689048e-04,,,gaussian_eps0_n256_uniform_ETD.npz
gaussian,1.00000000e-08,32,uniform,32,32,40000,0,2.84000000e+01,7.74771355e-07,2.53308280e-10,analytic,1.54866604e-02,,,1.88726132e-02,,,gaussian_eps1e-08_n32_uniform_ETD.npz
gaussian,1.00000000e-08,64,uniform,64,64,40000,0,4.75000000e+01,6.54002654e-07,1.89289526e-09,analytic,1.49221441e-03,,,3.06482110e-03,,,gaussian_eps1e-08_n64_uniform_ETD.npz
gaussian,1.00000000e-08,128,uniform,128,128,40000,0,1.29000000e+02,6.28050496e-07,7.58409980e-09,analytic,1.01745170e-04,,,6.38323309e-04,,,gaussian_eps1e-08_n128_uniform_ETD.npz
gaussian,1.00000000e-08,256,uniform,256,256,40000,0,4.32800000e+02,6.29111137e-07,9.33738618e-09,analytic,4.88286753e-05,,,1.63685387e-04,,,gaussian_eps1e-08_n256_uniform_ETD.npz
gaussian,1.00000000e-04,32,uniform,32,32,40000,0,2.84000000e+01,7.28725511e-07,2.19339445e-10,analytic,1.68682898e-02,,,2.02039318e-02,,,gaussian_eps0.0001_n32_uniform_ETD.npz
gaussian,1.00000000e-04,64,uniform,64,64,40000,0,4.74000000e+01,6.50481132e-07,3.49744466e-08,analytic,2.34624429e-03,,,3.63140502e-03,,,gaussian_eps0.0001_n64_uniform_ETD.npz
gaussian,1.00000000e-04,128,uniform,128,128,40000,0,1.28900000e+02,6.29694926e-07,1.33264775e-08,analytic,4.45815962e-04,,,7.91576759e-04,,,gaussian_eps0.0001_n128_uniform_ETD.npz
gaussian,1.00000000e-04,256,uniform,256,256,40000,0,4.29300000e+02,6.30094559e-07,1.43603679e-08,analytic,1.13950001e-04,,,1.98031457e-04,,,gaussian_eps0.0001_n256_uniform_ETD.npz
gaussian,1.00000000e-03,32,uniform,32,32,40000,0,2.83000000e+01,9.61082050e-07,4.78924320e-09,analytic,6.17464182e-02,,,6.73026257e-02,,,gaussian_eps0.001_n32_uniform_ETD.npz
gaussian,1.00000000e-03,64,uniform,64,64,40000,0,4.76000000e+01,6.66385881e-07,3.58750173e-09,analytic,1.55169209e-02,,,1.69281160e-02,,,gaussian_eps0.001_n64_uniform_ETD.npz
